#{"t_start": 1648004650.129054, "env_id": null}
r,l,t
-20.0,20,204.478716
-20.0,20,205.723682
-20.0,20,205.723778
-20.0,20,207.250587
-20.0,20,207.250682
-20.0,20,208.637316
-20.0,20,208.637411
-20.0,20,209.962819
-20.0,20,209.962913
-20.0,20,211.266618
-20.0,20,211.266714
-20.0,20,212.614203
-20.0,20,212.614292
-20.0,20,213.954429
-20.0,20,213.954518
-20.0,20,215.591589
-20.0,20,215.591678
-20.0,20,217.628354
-20.0,20,217.628906
-20.0,20,219.250959
-20.0,20,219.251087
-20.0,20,221.255076
-20.0,20,221.255246
-20.0,20,222.591513
-20.0,20,222.591622
-20.0,20,224.047683
-20.0,20,224.047781
-20.0,20,225.779371
-20.0,20,225.77947
-20.0,20,227.433731
1.0,20,227.433824
-20.0,20,229.084954
-20.0,20,229.08505
-20.0,20,230.723993
-20.0,20,230.724079
-20.0,20,232.562917
-20.0,20,232.563025
-20.0,20,233.985361
-20.0,20,233.985458
-20.0,20,236.068457
-20.0,20,236.068558
-20.0,20,237.807663
-20.0,20,237.807778
-20.0,20,239.362521
-20.0,20,239.362621
-20.0,20,240.929508
-20.0,20,240.929635
-20.0,20,242.561241
-20.0,20,242.561341
-20.0,20,244.178109
-20.0,20,244.178219
-20.0,20,245.598722
-20.0,20,245.598822
-20.0,20,247.721675
-20.0,20,247.72212
-20.0,20,250.043898
-20.0,20,250.04401
-20.0,20,251.807551
-20.0,20,251.807645
-20.0,20,253.125493
-20.0,20,253.125589
-20.0,20,254.639939
-20.0,20,254.640047
-20.0,20,256.361238
-20.0,20,256.36134
-20.0,20,258.797509
-20.0,20,258.797609
-20.0,20,260.921735
-20.0,20,260.921839
-20.0,20,262.611827
-20.0,20,262.611931
-20.0,20,264.07978
-20.0,20,264.079875
-20.0,20,265.843604
-20.0,20,265.843701
-20.0,20,267.467679
-20.0,20,267.467777
-20.0,20,268.79196
-20.0,20,268.792055
-20.0,20,270.096442
-20.0,20,270.096538
-20.0,20,271.265363
-20.0,20,271.265461
-20.0,20,272.567098
-20.0,20,272.567192
-20.0,20,273.925803
-20.0,20,273.925893
-20.0,20,275.354385
-20.0,20,275.354481
17.0,4,275.861546
-20.0,20,276.623706
-20.0,20,276.623801
-20.0,20,277.851577
-20.0,20,278.630535
-20.0,20,279.475022
-20.0,20,279.475115
-20.0,20,280.727742
-20.0,20,281.263716
-20.0,20,282.218782
-20.0,20,282.218878
-20.0,20,284.008213
-20.0,20,284.559807
-20.0,20,285.398278
-20.0,20,285.398369
-20.0,20,286.640433
-20.0,20,287.31776
-20.0,20,288.302939
-20.0,20,288.30304
-20.0,20,289.729982
-20.0,20,290.268819
-20.0,20,291.008863
-20.0,20,291.00896
-20.0,20,292.259111
-20.0,20,292.809477
-20.0,20,293.624278
-20.0,20,293.624376
-20.0,20,295.032165
-20.0,20,295.708934
-20.0,20,296.747663
-20.0,20,296.748266
-20.0,20,298.222235
-20.0,20,298.744502
-20.0,20,299.551129
-20.0,20,299.551226
-20.0,20,300.847178
-20.0,20,301.375878
20.0,1,301.527489
-20.0,20,302.187385
-20.0,20,302.187484
-20.0,20,303.613656
-20.0,20,304.286256
-20.0,20,305.011307
-20.0,20,305.01143
-20.0,20,306.745315
-20.0,20,307.726374
-20.0,20,308.421019
-20.0,20,308.421127
-20.0,20,310.079635
-20.0,20,311.180175
-20.0,20,312.478973
-20.0,20,312.479072
-20.0,20,314.41899
-20.0,20,315.518761
-20.0,20,316.766387
-20.0,20,316.766477
-20.0,20,319.333145
-20.0,20,320.429276
-20.0,20,321.539616
-20.0,20,321.539713
-20.0,20,322.838071
-20.0,20,323.494634
-20.0,20,324.253412
-20.0,20,324.253506
-20.0,20,326.021228
-20.0,20,326.59527
-20.0,20,327.492765
-20.0,20,327.493188
-20.0,20,330.123131
-20.0,20,331.166971
-20.0,20,332.631685
-20.0,20,332.631777
7.0,14,334.598185
-20.0,20,334.740447
-20.0,20,336.248107
-20.0,20,336.248202
-20.0,20,337.722128
-20.0,20,337.85201
-20.0,20,339.169222
-20.0,20,339.16932
-20.0,20,340.26645
-20.0,20,340.418223
-20.0,20,341.86339
-20.0,20,341.863487
-20.0,20,343.078436
-20.0,20,343.21903
18.0,3,343.602557
-20.0,20,344.44992
-20.0,20,344.450019
-20.0,20,345.65682
-20.0,20,346.176048
-20.0,20,347.203676
-20.0,20,347.203774
-20.0,20,348.412553
-20.0,20,348.886008
-20.0,20,349.808624
-20.0,20,349.808723
-20.0,20,350.984425
-20.0,20,351.536629
-20.0,20,352.468972
-20.0,20,352.469067
-20.0,20,353.844701
-20.0,20,354.340901
-20.0,20,355.248554
-20.0,20,355.248651
6.0,15,356.289661
-20.0,20,356.402965
17.0,4,356.773372
-20.0,20,357.739378
-20.0,20,357.739482
-20.0,20,359.057407
-20.0,20,359.454652
-20.0,20,360.441963
-20.0,20,360.44206
-20.0,20,361.627968
-20.0,20,362.065093
-20.0,20,364.039288
-20.0,20,364.039385
-20.0,20,365.672383
-20.0,20,366.032386
-20.0,20,367.345493
-20.0,20,367.34561
-20.0,20,369.013301
-20.0,20,369.493486
-20.0,20,370.707166
-20.0,20,370.707359
-20.0,20,371.998851
-20.0,20,372.433863
-20.0,20,373.765642
-20.0,20,373.765788
-20.0,20,375.724981
-20.0,20,376.236752
-20.0,20,377.557004
-20.0,20,377.557102
-20.0,20,379.378021
-20.0,20,379.843382
-20.0,20,381.828576
-20.0,20,381.828729
-20.0,20,383.786377
-20.0,20,384.291101
-20.0,20,386.025453
-20.0,20,386.025553
-20.0,20,387.620477
-20.0,20,388.165147
-20.0,20,389.460022
-20.0,20,389.460115
-20.0,20,390.966291
-20.0,20,391.747443
-20.0,20,393.663049
-20.0,20,393.66315
19.0,2,394.048941
18.0,3,394.219525
-20.0,20,395.202732
-20.0,20,395.929895
-20.0,20,397.968817
-20.0,20,398.14673
-20.0,20,399.304725
-20.0,20,399.769807
-20.0,20,401.690921
-20.0,20,401.863153
-20.0,20,403.108159
-20.0,20,403.748318
-20.0,20,405.813021
-20.0,20,405.939246
-20.0,20,406.992412
-20.0,20,407.478733
-20.0,20,409.122907
10.0,11,409.326575
-20.0,20,409.326677
-20.0,20,410.565083
-20.0,20,413.074689
-20.0,20,413.227732
-20.0,20,413.227829
-20.0,20,414.241903
-20.0,20,416.326904
-20.0,20,416.480398
-20.0,20,416.480503
-20.0,20,417.575308
-20.0,20,420.044973
-20.0,20,420.194387
-20.0,20,420.194534
-20.0,20,421.275058
17.0,4,421.893583
-20.0,20,423.592682
-20.0,20,423.796361
-20.0,20,423.79648
-20.0,20,425.813292
-20.0,20,427.166607
-20.0,20,427.303524
-20.0,20,427.303621
-20.0,20,429.097372
-20.0,20,430.182022
-20.0,20,430.300843
-20.0,20,430.300939
-20.0,20,431.876793
-20.0,20,433.693669
-20.0,20,433.92242
-20.0,20,433.922558
-20.0,20,435.610192
-20.0,20,437.221895
-20.0,20,437.339429
-20.0,20,437.339527
-20.0,20,438.989772
-20.0,20,440.429581
-20.0,20,440.542913
-20.0,20,440.543008
20.0,1,440.730971
-20.0,20,442.099905
-20.0,20,443.591092
-20.0,20,443.917448
-20.0,20,444.071252
16.0,5,444.767024
-20.0,20,445.456952
-20.0,20,446.770451
-20.0,20,447.166115
-20.0,20,447.833362
-20.0,20,448.657148
-20.0,20,449.901325
-20.0,20,450.183186
-20.0,20,450.774021
-20.0,20,451.468995
-20.0,20,452.685503
-20.0,20,452.954723
16.0,5,453.764114
-20.0,20,454.014113
-20.0,20,454.855171
-20.0,20,458.312403
-20.0,20,459.463294
-20.0,20,460.053528
-20.0,20,461.303544
14.0,7,461.575079
-20.0,20,463.562348
-20.0,20,464.332483
-20.0,20,465.225323
-20.0,20,465.379482
-20.0,20,466.910605
-20.0,20,467.668982
-20.0,20,468.347488
-20.0,20,468.496126
-20.0,20,469.846641
-20.0,20,470.413762
-20.0,20,471.146548
-20.0,20,471.260404
-20.0,20,472.727088
-20.0,20,473.233405
-20.0,20,473.980405
-20.0,20,474.141652
-20.0,20,475.481176
-20.0,20,476.025582
-20.0,20,477.072746
-20.0,20,477.267887
-20.0,20,479.327627
-20.0,20,480.401379
-20.0,20,482.101737
-20.0,20,482.494918
-20.0,20,484.740912
-20.0,20,485.713887
-20.0,20,486.507437
-20.0,20,486.666651
-20.0,20,488.504922
-20.0,20,488.971715
-20.0,20,489.674172
-20.0,20,490.010739
-20.0,20,491.570334
-20.0,20,492.044484
-20.0,20,492.723023
-20.0,20,492.821849
-20.0,20,494.230183
-20.0,20,494.729343
-20.0,20,495.288468
-20.0,20,495.421317
11.0,10,496.692935
-20.0,20,496.693036
-20.0,20,497.28327
-20.0,20,497.881891
-20.0,20,499.203187
-20.0,20,499.20329
-20.0,20,499.80522
