#{"t_start": 1649217034.24455, "env_id": null}
r,l,t
-20.0,20,170.550115
-20.0,20,170.550197
-20.0,20,170.550225
-20.0,20,170.550249
-20.0,20,172.729979
-20.0,20,172.730061
-20.0,20,172.730089
-20.0,20,172.730113
-20.0,20,175.062166
-20.0,20,175.062248
-20.0,20,175.062278
-20.0,20,175.062302
-20.0,20,177.51734
-20.0,20,177.517426
-20.0,20,177.517458
-20.0,20,177.517483
-20.0,20,179.664479
-20.0,20,179.66456
-20.0,20,179.66459
-20.0,20,179.664615
-20.0,20,181.715151
-20.0,20,181.715233
-20.0,20,181.715261
-20.0,20,181.715283
-20.0,20,184.080831
-20.0,20,184.080921
-20.0,20,184.080953
-20.0,20,184.080979
-20.0,20,186.295203
-20.0,20,186.295289
-20.0,20,186.295319
-20.0,20,186.295344
-20.0,20,188.480796
-20.0,20,188.480878
-20.0,20,188.480908
-20.0,20,188.480932
-20.0,20,190.821804
-20.0,20,190.821885
-20.0,20,190.821914
-20.0,20,190.821938
-20.0,20,193.124217
-20.0,20,193.124298
-20.0,20,193.124328
-20.0,20,193.124352
-20.0,20,195.561927
-20.0,20,195.562019
-20.0,20,195.562051
-20.0,20,195.562076
-20.0,20,198.005775
-20.0,20,198.005869
-20.0,20,198.005902
-20.0,20,198.005926
-20.0,20,200.185664
-20.0,20,200.18575
-20.0,20,200.185781
-20.0,20,200.185807
-20.0,20,202.5522
-20.0,20,202.552286
-20.0,20,202.552319
-20.0,20,202.552345
-20.0,20,205.079683
-20.0,20,205.079766
-20.0,20,205.079795
-20.0,20,205.07982
-20.0,20,207.583345
-20.0,20,207.583429
-20.0,20,207.583458
-20.0,20,207.583482
-20.0,20,210.140997
-20.0,20,210.141079
-20.0,20,210.141108
-20.0,20,210.141134
-20.0,20,212.439888
-20.0,20,212.439984
-20.0,20,212.44002
-20.0,20,212.440049
-20.0,20,214.791411
-20.0,20,214.791511
-20.0,20,214.791564
-20.0,20,214.791617
-20.0,20,217.326907
-20.0,20,217.326992
-20.0,20,217.327022
-20.0,20,217.327047
-20.0,20,219.523229
-20.0,20,219.523319
-20.0,20,219.523347
-20.0,20,219.523371
-20.0,20,221.827625
-20.0,20,221.827706
-20.0,20,221.827735
-20.0,20,221.827759
-20.0,20,224.140638
-20.0,20,224.140791
-20.0,20,224.140821
-20.0,20,224.140844
-20.0,20,226.512038
-20.0,20,226.512119
-20.0,20,226.512151
-20.0,20,226.512176
-20.0,20,228.629108
-20.0,20,228.629204
-20.0,20,228.629234
-20.0,20,228.629259
-20.0,20,230.912826
-20.0,20,230.912908
-20.0,20,230.912938
-20.0,20,230.912963
-20.0,20,233.346717
-20.0,20,233.346802
-20.0,20,233.346833
-20.0,20,233.346858
-20.0,20,235.837178
-20.0,20,235.83726
-20.0,20,235.837289
-20.0,20,235.837313
-20.0,20,238.179261
-20.0,20,238.179345
-20.0,20,238.179375
-20.0,20,238.179399
-20.0,20,240.457969
-20.0,20,240.458052
-20.0,20,240.458083
-20.0,20,240.458107
-20.0,20,242.715471
-20.0,20,242.715558
-20.0,20,242.715588
-20.0,20,242.715613
-20.0,20,245.30188
-20.0,20,245.301963
-20.0,20,245.301992
-20.0,20,245.302016
-20.0,20,247.720602
-20.0,20,247.720701
-20.0,20,247.720729
-20.0,20,247.72075
-20.0,20,249.844039
-20.0,20,249.844113
-20.0,20,249.844138
-20.0,20,249.844158
-20.0,20,252.848381
-20.0,20,252.848441
-20.0,20,252.848469
-20.0,20,252.84849
-20.0,20,256.328916
-20.0,20,256.329069
-20.0,20,256.329123
-20.0,20,256.329162
-20.0,20,259.415948
-20.0,20,259.416021
-20.0,20,259.416048
-20.0,20,259.41607
-20.0,20,262.02479
-20.0,20,262.024867
-20.0,20,262.024894
-20.0,20,262.024914
-20.0,20,265.400519
-20.0,20,265.400597
-20.0,20,265.400625
-20.0,20,265.400649
-20.0,20,268.258212
-20.0,20,268.258309
-20.0,20,268.258388
-20.0,20,268.258411
-20.0,20,271.742315
-20.0,20,271.742396
-20.0,20,271.742425
-20.0,20,271.742448
-20.0,20,274.745209
